,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
170,"10,000 Hours (with Justin Bieber)","Dan + Shay",237616,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
171,"Gimme Love",Joji,237404,https://open.spotify.com/track/5jSBnH9NyaNP5zdSB3pwgu
172,Wow.,"Post Malone",236895,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
173,"BLIND (feat. Young Thug)",DaBaby,236207,https://open.spotify.com/track/2T5NBwKRySiCR78vVk08vr
174,"exile (feat. Bon Iver)","Taylor Swift",236073,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
175,"bad guy","Billie Eilish",233525,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
176,"XO Tour Llif3","Lil Uzi Vert",232831,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
177,"Life's A Mess (feat. Halsey)","Juice WRLD",232564,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs
178,"Hit Different",SZA,232009,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU
179,"everything i wanted","Billie Eilish",231997,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
180,"Armed And Dangerous","Juice WRLD",230917,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
181,"Mr. Brightside","The Killers",230548,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
182,"Timeless (feat. Lil Wayne & Big Sean)","Benny The Butcher",230485,https://open.spotify.com/track/7ighctS1exCe8hJXTEkNen
183,"Got What I Got","Jason Aldean",230225,https://open.spotify.com/track/4TCc369aRPRubv1m8R1TBG
184,"drunk face","Machine Gun Kelly",228888,https://open.spotify.com/track/3k0YJnqMKRZb8swo86vCkq
185,"Better Together","Luke Combs",227675,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
186,"La Jeepeta - Remix","Nio Garcia",227350,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
187,"Kacey Talk","YoungBoy Never Broke Again",226713,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
188,"Pussy Talk","City Girls",224896,https://open.spotify.com/track/5EzL7hGT9g2Tvqsy158Lu9
189,"Say You Won't Let Go","James Arthur",224890,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
190,Maniac,"Conan Gray",224544,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
191,"Be Kind (with Halsey)",Marshmello,224013,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
192,"No Opp Left Behind","21 Savage",223718,https://open.spotify.com/track/50I7FNN2rl2rWiNwGxS146
193,"Rags2Riches (feat. ATR Son Son)","Rod Wave",223489,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
194,"Snitches & Rats (feat. Young Nudy)","21 Savage",223138,https://open.spotify.com/track/3WaDoMDQRqDdgtCDLxanpN
195,"Tennessee Whiskey","Chris Stapleton",220239,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
196,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,219507,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
197,Diamonds,"Sam Smith",218994,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
198,"Murder On My Mind","YNW Melly",218433,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
199,"when the party's over","Billie Eilish",217183,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
200,"Pop Out (feat. Lil Tjay)","Polo G",216798,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
